1	 0	 0	 (1)
2	 0	 32	 X^2
3	 1	 0	 X^2
4	 1	 32	 (1)
5	 2	 1	 X
6	 2	 33	 X
7	 3	 1	 X
8	 3	 33	 X
9	 4	 2	 (1)
10	 4	 34	 X^2
11	 5	 2	 X^2
12	 5	 34	 (1)
13	 6	 3	 X
14	 6	 35	 X
15	 7	 3	 X
16	 7	 35	 X
17	 8	 4	 X^2
18	 8	 36	 (1)
19	 9	 4	 (1)
20	 9	 36	 X^2
21	 10	 5	 X
22	 10	 37	 X
23	 11	 5	 X
24	 11	 37	 X
25	 12	 6	 X^2
26	 12	 38	 (1)
27	 13	 6	 (1)
28	 13	 38	 X^2
29	 14	 7	 X
30	 14	 39	 X
31	 15	 7	 X
32	 15	 39	 X
33	 16	 8	 X^2
34	 16	 40	 (1)
35	 17	 8	 (1)
36	 17	 40	 X^2
37	 18	 9	 X
38	 18	 41	 X
39	 19	 9	 X
40	 19	 41	 X
41	 20	 10	 X^2
42	 20	 42	 (1)
43	 21	 10	 (1)
44	 21	 42	 X^2
45	 22	 11	 X
46	 22	 43	 X
47	 23	 11	 X
48	 23	 43	 X
49	 24	 12	 (1)
50	 24	 44	 X^2
51	 25	 12	 X^2
52	 25	 44	 (1)
53	 26	 13	 X
54	 26	 45	 X
55	 27	 13	 X
56	 27	 45	 X
57	 28	 14	 (1)
58	 28	 46	 X^2
59	 29	 14	 X^2
60	 29	 46	 (1)
61	 30	 15	 X
62	 30	 47	 X
63	 31	 15	 X
64	 31	 47	 X
65	 32	 16	 X
66	 32	 48	 X
67	 33	 16	 X
68	 33	 48	 X
69	 34	 17	 X^2
70	 34	 49	 (1)
71	 35	 17	 (1)
72	 35	 49	 X^2
73	 36	 18	 X
74	 36	 50	 X
75	 37	 18	 X
76	 37	 50	 X
77	 38	 19	 X^2
78	 38	 51	 (1)
79	 39	 19	 (1)
80	 39	 51	 X^2
81	 40	 20	 X
82	 40	 52	 X
83	 41	 20	 X
84	 41	 52	 X
85	 42	 21	 (1)
86	 42	 53	 X^2
87	 43	 21	 X^2
88	 43	 53	 (1)
89	 44	 22	 X
90	 44	 54	 X
91	 45	 22	 X
92	 45	 54	 X
93	 46	 23	 (1)
94	 46	 55	 X^2
95	 47	 23	 X^2
96	 47	 55	 (1)
97	 48	 24	 X
98	 48	 56	 X
99	 49	 24	 X
100	 49	 56	 X
101	 50	 25	 (1)
102	 50	 57	 X^2
103	 51	 25	 X^2
104	 51	 57	 (1)
105	 52	 26	 X
106	 52	 58	 X
107	 53	 26	 X
108	 53	 58	 X
109	 54	 27	 (1)
110	 54	 59	 X^2
111	 55	 27	 X^2
112	 55	 59	 (1)
113	 56	 28	 X
114	 56	 60	 X
115	 57	 28	 X
116	 57	 60	 X
117	 58	 29	 X^2
118	 58	 61	 (1)
119	 59	 29	 (1)
120	 59	 61	 X^2
121	 60	 30	 X
122	 60	 62	 X
123	 61	 30	 X
124	 61	 62	 X
125	 62	 31	 X^2
126	 62	 63	 (1)
127	 63	 31	 (1)
128	 63	 63	 X^2
